FileDesignation	Ltotal	L20	L25	L32	L40	L50	L63	L80	L100	L125	L160	L200	L250	L315	L400	L500	L630	L800	L1k	L1k25	L1k6	L2k	L2k5	L3k15	L4k	L5k	L6k3	L8k	L10k	L12k5	L16k
56	-25.172	-99.834	-90.426	-80.733	-72.004	-61.68	-55.84	-45.294	-33.985	-35.564	-34.819	-35.143	-36.392	-39.574	-39.779	-35.818	-33.689	-39.904	-36.72	-36.884	-44.895	-47.482	-46.6	-47.343	-51.976	-54.857	-48.301	-53.632	-59.867	-68.205	-80.569
57	-27.785	-105.444	-94.399	-86.863	-75.03	-60.865	-57.76	-50.122	-37.307	-36.268	-42.957	-37.586	-36.448	-41.537	-42.486	-40.25	-36.267	-43.117	-41.134	-40.005	-47.655	-45.604	-45.873	-46.253	-51.309	-52.258	-46.276	-51.079	-59.567	-65.107	-78.821
58	-27.76	-106.326	-95.698	-87.277	-76.695	-64.624	-59.345	-40.765	-37.068	-37.12	-41.25	-36.307	-35.493	-43.187	-40.304	-42.307	-38.598	-44.591	-43.849	-38.691	-43.523	-45.119	-47.941	-51.655	-58.277	-70.623	-62.464	-64.691	-68.835	-74.615	-86.196
59	-24.41	-105.22	-95.248	-85.567	-74.83	-65.037	-56.474	-41.941	-35.102	-29.916	-38.512	-33.358	-30.45	-43.331	-42.336	-39.269	-39.469	-43.404	-45.277	-37.37	-40.53	-45.137	-41.517	-45.992	-54.521	-67.3	-61.805	-61.135	-66.178	-70.457	-84.443
60	-26.11	-104.307	-93.724	-84.68	-70.481	-62.26	-56.216	-39.798	-36.359	-33.677	-37.548	-35.285	-34.181	-42.037	-46.549	-40.791	-35.423	-43.277	-43.448	-38.018	-42.712	-47.705	-47.248	-43.186	-49.526	-52.29	-46.969	-52.388	-60.984	-67.352	-79.692
61	-26.485	-101.533	-92.151	-84.571	-72.648	-62.889	-59.232	-49.491	-38.434	-33.662	-30.582	-40.731	-38.14	-43.631	-41.443	-38.486	-40.04	-44.577	-46.613	-40.589	-44.601	-46.716	-49.288	-50.727	-51.482	-54.126	-49.764	-53.695	-62.314	-65.827	-80.106
62	-23.047	-104.345	-94.455	-85.69	-74.641	-57.607	-53.429	-50.968	-32.538	-28.439	-29.575	-34.095	-30.057	-37.073	-39.835	-41.934	-45.645	-51.06	-53.711	-46.042	-44.147	-41.214	-43.833	-47.312	-55.837	-65.613	-59.705	-61.67	-66.493	-70.513	-83.535
63	-25.535	-107.854	-96.263	-86.229	-76.831	-63.821	-59.52	-49.209	-36.995	-35.448	-34.422	-37.478	-38.437	-45.038	-46.326	-40.936	-32.162	-36.64	-38.68	-32.698	-44.822	-52.434	-49.224	-59.551	-65.127	-70.299	-64.859	-63.159	-66.309	-71.821	-83.086
64	-25.11	-104.644	-95.044	-84.092	-75.2	-61.698	-56.234	-51.014	-37.84	-29.37	-34.411	-38.66	-32.244	-40.089	-37.312	-43.836	-41.203	-45.105	-49.564	-39.263	-42.476	-42.211	-44.973	-47.194	-57.034	-63.111	-59.153	-59.016	-64.252	-69.029	-77.128
65	-25.935	-99.156	-93.325	-83.837	-74.197	-62.031	-58.018	-49.986	-35.316	-31.37	-35.819	-36.046	-31.692	-42.526	-46.234	-43.821	-42.52	-50.564	-53.385	-49.752	-50.048	-44.51	-45.637	-44.364	-46.98	-51.038	-44.148	-48.882	-58.332	-66.49	-78.905
