L_FB,L_SB,L_F20,L_F25,L_F32,L_F40,L_F50,L_F63,L_F80,L_F100,L_F125,L_F160,L_F200,L_F250,L_F315,L_F400,L_F500,L_F630,L_F800,L_F1k,L_F1k25,L_F1k6,L_F2k,L_F2k5,L_F3k15,L_F4k,L_F5k,L_F6k3,L_F8k,L_F10k,L_F12k5,L_F16k,L_F20k,L_S20,L_S25,L_S32,L_S40,L_S50,L_S63,L_S80,L_S100,L_S125,L_S160,L_S200,L_S250,L_S315,L_S400,L_S500,L_S630,L_S800,L_S1k,L_S1k25,L_S1k6,L_S2k,L_S2k5,L_S3k15,L_S4k,L_S5k,L_S6k3,L_S8k,L_S10k,L_S12k5,L_S16k,L_S20k
0,0,23.931,20.813,17.869,18.004,15.77,15.621,13.64,14.148,13.659,9.673,9.1653,9.8118,7.7786,8.8194,11.569,12.629,8.8501,9.6791,8.6878,10.699,9.8299,9.135,9.1329,8.5996,8.0921,8.2133,9.6686,8.0411,8.4559,8.8586,9.4008,33.92,32.816,32.14,31.489,30.855,29.439,28.2,26.945,26.035,25.244,23.663,22.816,21.738,20.831,20.038,19.216,17.998,17.276,16.302,16.017,15.385,14.808,13.63,12.967,12.081,11.623,12.378,11.754,13.338,13.878,11.585
0,0,21.356,19.745,15.578,15.934,14.368,16.519,13.629,20.333,17.44,10.337,22.833,15.738,22.758,16.176,12.854,11.539,8.0192,9.2043,8.012,10.434,10.629,10.785,9.239,9.9058,7.9213,8.1453,9.535,7.894,8.5166,9.103,9.4921,33.725,32.577,31.839,31.234,30.555,29.182,27.896,26.756,25.852,25.057,23.901,22.682,22.31,20.768,19.854,18.974,17.725,17.042,16.08,15.818,15.23,14.694,13.451,12.894,11.886,11.455,12.238,11.559,13.109,13.655,11.468
0,0,18.44,17.754,12.912,13.685,12.777,13.895,13.818,21.212,15.413,12.14,22.668,14.894,21.604,14.168,11.704,10.693,8.9507,9.5521,8.5945,9.6941,9.5507,10.604,8.9521,9.2456,8.3934,8.1513,9.738,7.972,8.508,9.0158,9.4742,33.413,32.305,31.626,30.949,30.267,28.906,27.668,26.652,25.605,24.774,23.946,22.457,22.276,20.508,19.584,18.725,17.507,16.829,15.849,15.573,14.991,14.491,13.266,12.715,11.768,11.312,12.101,11.384,12.885,13.426,11.36
0,0,15.947,14.97,10.411,13.507,11.424,12.954,12.108,18.461,15.143,10.57,19.773,13.495,18.724,12.224,10.874,12.172,8.9936,9.6562,8.9046,10.207,9.4384,10.051,8.9773,9.2746,8.0876,8.4019,9.6671,7.996,8.3276,8.9801,9.3733,33.203,32.07,31.276,30.667,29.978,28.606,27.341,26.347,25.346,24.561,23.668,22.168,21.939,20.234,19.359,18.545,17.301,16.596,15.657,15.36,14.787,14.294,13.097,12.565,11.583,11.188,11.97,11.212,12.653,13.197,11.232
0,0,13.695,13.388,9.8789,11.377,11.728,10.935,9.9905,16.263,16.918,12.117,17.764,12.667,19.006,14.761,14.762,12.672,8.049,8.9968,8.2303,10.372,9.2027,10.501,10.82,12.805,8.8113,8.8483,10.235,8.2849,8.1905,8.9624,9.3073,32.915,31.835,31.087,30.416,29.753,28.366,27.104,26.085,25.156,24.277,23.446,21.987,21.895,20.094,19.285,18.388,17.055,16.404,15.488,15.241,14.598,14.171,13.102,12.933,11.528,11.125,11.928,11.087,12.445,12.988,11.12
0,0,12.083,14.237,8.9847,11.605,13.577,9.4364,10.401,18.91,17.411,18.154,20.534,13.359,18.494,15.827,16.284,15.15,10.021,9.6349,8.5793,9.957,10.827,10.876,10.874,13.083,12.64,11.394,11.636,12.019,13.261,12.018,10.13,32.768,31.634,30.801,30.141,29.487,28.099,26.867,25.937,24.909,24.207,23.418,21.747,21.772,20.083,19.242,18.386,16.927,16.221,15.269,14.975,14.49,14.015,12.989,13.024,11.955,11.337,12.021,11.428,12.801,13.078,11.098
0,0,14.124,12.615,7.5589,11.337,14.876,17.06,14.861,18.907,18.774,24.067,27.518,22.477,27.013,31.963,32.092,23.315,16.328,10.206,11.326,12.687,10.593,10.472,9.9116,13.804,12.741,10.962,11.335,10.555,11.831,11.406,9.7951,32.558,31.459,30.619,29.937,29.265,27.91,26.693,25.847,24.835,24.54,24.607,22.316,23.47,25.489,25.321,20.009,17.238,16.079,15.251,15.055,14.344,13.867,12.867,13.219,12.105,11.345,11.984,11.274,12.636,12.945,11.017
0,0,13.069,10.419,12.827,13.952,14.809,23.119,17.852,19.579,36.388,30.395,25.096,36.129,30.636,44.297,39.714,34.361,26.254,28.549,19.847,17.821,22.447,22.023,16.686,12.831,11.519,11.043,11.324,13.406,12.691,11.679,9.6988,32.341,31.197,30.377,29.7,29.016,27.876,26.486,25.639,29.705,26.124,24.446,28.915,25.508,36.551,32.129,26.93,20.492,21.507,16.542,15.922,17.154,16.798,13.982,13.167,12.011,11.359,11.971,11.821,12.741,12.887,10.934
0,0,11.882,9.997,15.882,12.398,14.439,20.258,15.868,23.184,41.12,29.463,24.936,36.297,30.643,42.043,38.03,32.523,24.915,26.355,18.106,18.532,20.486,20.041,15.436,11.654,10.918,10.235,10.786,11.959,11.56,10.914,9.6677,32.123,30.972,30.173,29.463,28.74,27.651,26.264,25.722,34.188,26.514,24.594,30.512,26.441,36.666,32.632,27.325,20.881,21.653,16.53,16.318,17.206,16.845,14.019,13.034,11.963,11.28,11.878,11.72,12.598,12.729,10.864
0,0,14.329,8.2231,15.03,12.779,12.475,17.898,14.776,24.863,38.508,26.544,22.2,33.341,27.753,39.083,35.08,29.588,22.07,23.48,15.769,16.18,17.927,17.453,13.251,10.601,9.7806,9.2641,10.166,10.448,10.303,10.1,9.5411,31.89,30.769,29.994,29.248,28.531,27.458,26.069,25.933,34.02,26.146,24.329,30.153,26.124,36.299,32.272,26.979,20.595,21.342,16.354,16.123,16.956,16.573,13.767,12.883,11.798,11.139,11.743,11.538,12.385,12.537,10.786
